publication_id,concept,detected,regex_matches,manual_override
P37,VVUQ / assurance,True,VVUQ | Verification | verification | validation | uncertainty quantification | VVUQ | VVUQ | vvuq | verification,
P37,Clinical trials,True,Clinical Trial,
P37,Cost / efficiency,True,costs | faster,
P38,Agentic / code generation,True,agent | code generation,
P38,Simulation / digital twin,True,simulation | simulation,
P38,Physical AI / robotics,True,Surgical | Humanoid | Surgical | humanoid | pancreaticoduodenectomy | surgical | humanoid | physical AI | humanoid | humanoid,
P38,VVUQ / assurance,True,VVUQ | assurance | verification | validation | uncertainty quantification | ten-gate | assurance | verification | validation | assurance,
P38,PDAC / pancreatic cancer,True,Pancreatic Cancer | PDAC,
P38,Cost / efficiency,True,faster | throughput,
P39,Physical AI / robotics,True,Physical AI | robot | Physical AI,
P39,VVUQ / assurance,True,VVUQ | verification | validation | uncertainty quantification,
P39,Clinical trials,True,clinical trial,
P39,Regulatory / compliance,True,regulatory | ICH,
P39,Legislation / policy,True,Bill | bill | Congress | legislative,
P40,Physical AI / robotics,True,robot | Physical AI,
P40,VVUQ / assurance,True,Verification | verification | validation | uncertainty quantification,
P40,Legislation / policy,True,Act of 2026,
P41,Agentic / code generation,True,coding agent,
P41,Physical AI / robotics,True,robot | Physical AI,
P41,VVUQ / assurance,True,verification | validation | uncertainty quantification,
P41,Legislation / policy,True,Bill | legislative | Bill,
P42,Agentic / code generation,True,coding agent,
P42,Physical AI / robotics,True,robot | Physical AI,
P42,VVUQ / assurance,True,verification | validation | uncertainty quantification,
P42,Legislation / policy,True,Bill | legislative | Bill,
P43,Agentic / code generation,True,coding agent,
P43,Physical AI / robotics,True,robot | Physical AI,
P43,VVUQ / assurance,True,verification | validation | uncertainty quantification,
P43,Legislation / policy,True,Bill | legislative | Bill | statute,
P44,LLM / conversational AI,True,large language model | LLM,
P44,Agentic / code generation,True,agent,
P44,Physical AI / robotics,True,Physical AI | robotics | surgical | humanoid | Physical AI,
P44,VVUQ / assurance,True,verification | ten-gate | verification | validation | uncertainty quantification | assurance | ten-gate,
P44,Patient safety / adverse events,True,harm,
P44,Legislation / policy,True,Federal Law | legislative | policy | bill | Bill | Federal law,
P45,Agentic / code generation,True,agent,
P45,Simulation / digital twin,True,simulation,
P45,Physical AI / robotics,True,Physical AI | Physical AI | surgical | humanoid,
P45,VVUQ / assurance,True,verification | ten-gate | verification | validation | uncertainty quantification | ten-gate,
P45,Clinical trials,True,clinical trials,
P45,Patient matching / decision support,True,clinical decision support,
P46,Simulation / digital twin,True,simulation,
P46,Physical AI / robotics,True,Physical AI | robot,
P46,VVUQ / assurance,True,Verification | verification | validation | uncertainty quantification | ten-gate | verification,
P46,MCP / API infrastructure,True,Platform | platform,
P46,Patient safety / adverse events,True,safety | safety | harm,
P46,Cost / efficiency,True,cost,
P46,Legislation / policy,True,Congress | Act of 2026 | bill | Congress | statute | Congress | bill | bill,
P47,LLM / conversational AI,True,LLM | LLM,
P47,Physical AI / robotics,True,Robotic | Pancreaticoduodenectomy | robotic | pancreaticoduodenectomy | Physical AI,
P47,Clinical trials,True,Phase 1 | clinical trial,
P47,PDAC / pancreatic cancer,True,Pancreatic Ductal Adenocarcinoma | pancreatic ductal adenocarcinoma,
P47,Regulatory / compliance,True,IND | IDE | good clinical practice | IND | IDE | regulatory,
P47,Patient safety / adverse events,True,risk-benefit,
P47,Drug compounds / discovery / synergy,True,Daraxonrasib | RMC-6236 | daraxonrasib | RMC-6236,
P48,LLM / conversational AI,True,LLM | LLM,
P48,Physical AI / robotics,True,Robotic | Whipple | robotic | Whipple | Physical AI,
P48,Clinical trials,True,Phase 2 | Clinical Trial | Phase 2 | trial protocol | Phase 1,
P48,PDAC / pancreatic cancer,True,PDAC | pancreatic ductal adenocarcinoma,
P48,Regulatory / compliance,True,IND | IDE | good clinical practice | IRB | IND | IDE | regulatory,
P48,Patient safety / adverse events,True,risk-benefit,
P48,Drug compounds / discovery / synergy,True,Daraxonrasib | daraxonrasib | RMC-6236,
P49,LLM / conversational AI,True,LLM | LLMs | LLMs | LLM | LLM,
P49,Agentic / code generation,True,Repository based | Single prompt | sub-prompt,
P49,Document retrieval / RAG,True,Repository | Repository | repository,
P49,Physical AI / robotics,True,robotic,
P49,Clinical trials,True,clinical trial | clinical trial | clinical trials,
P49,PDAC / pancreatic cancer,True,pancreatic ductal adenocarcinoma,
P49,Glioblastoma,True,glioblastoma,
P49,Lung adenocarcinoma,True,lung adenocarcinoma,
P50,LLM / conversational AI,True,LLM | large language model | LLM | LLM,
P50,Agentic / code generation,True,repository based | GitHub,
P50,Document retrieval / RAG,True,Document Guidance | repository | repository,
P50,Physical AI / robotics,True,robotic | Whipple,
P50,Clinical trials,True,Phase 1 | Phase 1 | Phase 1 | Phase 1 | Phase 2 | Phase 2,
P50,PDAC / pancreatic cancer,True,Pancreatic Cancer | pancreatic ductal adenocarcinoma,
P50,Regulatory / compliance,True,regulatory | IND | IRB | NDA | BLA | regulatory,
P50,Cost / efficiency,True,time | time,
P50,Drug compounds / discovery / synergy,True,daraxonrasib | RMC-6236,
P51,LLM / conversational AI,True,LLM | LLM,
P51,Physical AI / robotics,True,Robotic | Whipple | robotic | pancreaticoduodenectomy,
P51,Clinical trials,True,Phase 1 | Phase 1,
P51,PDAC / pancreatic cancer,True,PDAC | pancreatic ductal adenocarcinoma,
P51,Regulatory / compliance,True,21 CFR | regulatory | FDA | regulatory | IND,
P51,Drug compounds / discovery / synergy,True,Daraxonrasib | daraxonrasib | RMC-6236 | daraxonrasib,
P52,LLM / conversational AI,True,LLM,
P52,Physical AI / robotics,True,Robotic | Whipple,
P52,Clinical trials,True,Clinical Trial | clinical trial | Phase 1,
P52,PDAC / pancreatic cancer,True,PDAC,
P52,Cost / efficiency,True,Funding | funding,
P52,Drug compounds / discovery / synergy,True,Daraxonrasib,
P53,LLM / conversational AI,True,LLM,
P53,Physical AI / robotics,True,Robotic | Whipple,
P53,Clinical trials,True,Clinical Trial | clinical trial | Phase 1,
P53,PDAC / pancreatic cancer,True,PDAC,
P53,Cost / efficiency,True,Funding | funding,
P53,Drug compounds / discovery / synergy,True,Daraxonrasib,
